data,q_m3s
1932-03-02,122.145
1932-03-03,124.737
1932-03-04,127.99
1932-03-05,131.259
1932-03-06,135.201
1932-03-07,137.841
1932-03-08,141.153
1932-03-09,143.814
1932-03-10,145.14700000000005
1932-03-11,145.815
1932-03-12,141.153
1932-03-13,136.52
1932-03-14,132.57
1932-03-15,127.338
1932-03-16,123.44
1932-03-17,120.208
1932-03-18,116.992
1932-03-19,114.43
1932-03-20,113.154
1932-03-21,108.073
1932-03-22,104.92
1932-03-23,103.036
1932-03-24,100.534
1932-03-25,99.2866
1932-03-26,96.1821
1932-03-27,98.6643
1932-03-28,103.036
1932-03-29,109.973
1932-03-30,115.07
1932-03-31,119.563
1932-04-01,124.737
1932-04-02,128.643
1932-04-03,127.338
1932-04-04,124.737
1932-04-05,122.145
1932-04-06,119.563
1932-04-07,109.339
1932-04-08,99.2866
1932-04-09,95.5633
1932-04-10,93.7115
1932-04-11,91.8663
1932-04-12,90.6399
1932-04-13,88.806
1932-04-14,90.0278
1932-04-15,91.2527
1932-04-16,92.4806
1932-04-17,94.328
1932-04-18,96.8016
1932-04-19,99.2866
1932-04-20,104.291
1932-04-21,108.706
1932-04-22,116.992
1932-04-23,120.853
1932-04-24,122.792
1932-04-25,127.338
1932-04-26,131.259
1932-04-27,140.49
1932-04-28,145.14700000000005
1932-04-29,151.17600000000004
1932-04-30,155.219
1932-05-01,152.52200000000005
1932-05-02,149.161
1932-05-03,144.48
1932-05-04,140.49
1932-05-05,138.502
1932-05-06,135.86
1932-05-07,133.885
1932-05-08,131.914
1932-05-09,129.95
1932-05-10,127.99
1932-05-11,126.687
1932-05-12,124.737
1932-05-13,120.853
1932-05-14,115.71
1932-05-15,111.88
1932-05-16,108.706
1932-05-17,106.179
1932-05-18,103.663
1932-05-19,99.2866
1932-05-20,95.5633
1932-05-21,90.6399
1932-05-22,86.3715
1932-05-23,83.9494
1932-05-24,80.9397
1932-05-25,83.9494
1932-05-26,90.0278
1932-05-27,93.0957
1932-05-28,99.2866
1932-05-29,96.1821
1932-05-30,93.0957
1932-05-31,86.9789
1932-06-01,91.8663
1932-06-02,94.9453
1932-06-03,99.2866
1932-06-04,102.409
1932-06-05,106.81
1932-06-06,116.351
1932-06-07,119.563
1932-06-08,122.792
1932-06-09,121.499
1932-06-10,116.992
1932-06-11,111.88
1932-06-12,109.973
1932-06-13,106.81
1932-06-14,104.291
1932-06-15,102.409
1932-06-16,100.534
1932-06-17,99.2866
1932-06-18,98.0427
1932-06-19,96.1821
1932-06-20,94.9453
1932-06-21,93.0957
1932-06-22,80.9397
1932-06-23,77.9502
1932-06-24,79.1435
