data,cota_obs_cm
2014-01-05,128.0
2014-01-06,129.0
2014-01-07,127.0
2014-01-08,129.0
2014-01-09,128.0
2014-01-10,126.0
2014-01-11,135.0
2014-01-12,155.0
2014-01-13,224.0
2014-01-14,205.0
2014-01-15,188.0
2014-01-16,213.0
2014-01-17,246.0
2014-01-18,235.0
2014-01-19,215.0
2014-01-20,195.0
2014-01-21,175.0
2014-01-22,155.0
2014-01-23,137.0
2014-01-24,124.0
2014-01-25,120.0
2014-01-26,117.0
2014-01-27,115.0
2014-01-28,114.0
2014-01-29,112.0
2014-01-30,110.0
2014-01-31,108.0
2014-02-01,106.0
2014-02-02,104.0
2014-02-03,103.0
2014-02-04,104.0
2014-02-05,119.0
2014-02-06,110.0
2014-02-07,108.0
2014-02-08,107.0
2014-02-09,106.0
2014-02-10,105.0
2014-02-11,104.0
2014-02-12,102.0
2014-02-13,102.0
2014-02-14,102.0
2014-02-15,108.0
2014-02-16,112.0
2014-02-17,119.0
2014-02-18,129.0
2014-02-19,138.0
2014-02-20,142.0
2014-02-21,136.0
2014-02-22,128.0
2014-02-23,120.0
2014-02-24,119.0
2014-02-25,129.0
2014-02-26,125.0
2014-02-27,123.0
2014-02-28,121.0
2014-03-01,125.0
2014-03-02,124.0
2014-03-03,119.0
2014-03-04,113.0
2014-03-05,113.0
2014-03-06,116.0
2014-03-07,119.0
2014-03-08,117.0
2014-03-09,121.0
2014-03-10,133.0
2014-03-11,125.0
2014-03-12,125.0
2014-03-13,169.0
2014-03-14,176.0
2014-03-15,156.0
2014-03-16,158.0
2014-03-17,140.0
2014-03-18,132.0
2014-03-19,144.0
2014-03-20,165.0
2014-03-21,176.0
2014-03-22,173.0
2014-03-23,150.0
2014-03-24,136.0
2014-03-25,129.0
2014-03-26,122.0
2014-03-27,118.0
2014-03-28,118.0
2014-03-29,117.0
2014-03-30,114.0
2014-03-31,116.0
2014-04-01,114.0
2014-04-02,119.0
2014-04-03,123.0
2014-04-04,127.0
2014-04-05,137.0
2014-04-06,150.0
2014-04-07,167.0
2014-04-08,155.0
2014-04-09,140.0
2014-04-10,132.0
2014-04-11,130.0
2014-04-12,134.0
2014-04-13,136.0
2014-04-14,140.0
2014-04-15,141.0
2014-04-16,144.0
2014-04-17,142.0
2014-04-18,140.0
2014-04-19,138.0
2014-04-20,137.0
2014-04-21,135.0
2014-04-22,134.0
2014-04-23,132.0
2014-04-24,130.0
2014-04-25,129.0
2014-04-26,127.0
2014-04-27,125.0
2014-04-28,120.0
2014-04-29,118.0
2014-04-30,117.0
2014-05-01,116.0
2014-05-02,115.0
2014-05-03,114.0
2014-05-04,113.0
2014-05-05,112.0
2014-05-06,111.0
2014-05-07,110.0
2014-05-08,109.0
2014-05-09,108.0
2014-05-10,107.0
2014-05-11,106.0
2014-05-12,105.0
2014-05-13,104.0
2014-05-14,103.0
2014-05-15,110.0
2014-05-16,108.0
2014-05-17,110.0
2014-05-18,109.0
2014-05-19,108.0
2014-05-20,107.0
2014-05-21,106.0
2014-05-22,105.0
