data,cota_obs_cm
2014-05-13,168.0
2014-05-14,168.0
2014-05-15,168.0
2014-05-16,168.0
2014-05-17,168.0
2014-05-18,167.0
2014-05-19,167.0
2014-05-20,167.0
2014-05-21,167.0
2014-05-22,168.0
2014-05-23,184.0
2014-05-24,204.0
2014-05-25,170.0
2014-05-26,194.0
2014-05-27,179.0
2014-05-28,178.0
2014-05-29,176.0
2014-05-30,169.0
2014-05-31,170.0
2014-06-01,174.0
2014-06-02,168.0
2014-06-03,168.0
2014-06-04,168.0
2014-06-05,168.0
2014-06-06,220.0
2014-06-07,308.0
2014-06-08,218.0
2014-06-09,191.0
2014-06-10,185.0
2014-06-11,180.0
2014-06-12,179.0
2014-06-13,177.0
2014-06-14,176.0
2014-06-15,173.0
2014-06-16,174.0
2014-06-17,174.0
2014-06-18,183.0
2014-06-19,184.0
2014-06-20,178.0
2014-06-21,172.0
2014-06-22,171.0
2014-06-23,170.0
2014-06-24,169.0
2014-06-25,169.0
2014-06-26,168.0
2014-06-27,169.0
2014-06-28,168.0
2014-06-29,169.0
2014-06-30,169.0
2014-07-01,168.0
2014-07-02,168.0
2014-07-03,168.0
2014-07-04,168.0
2014-07-05,168.0
2014-07-06,168.0
2014-07-07,168.0
2014-07-08,168.0
2014-07-09,168.0
2014-07-10,168.0
2014-07-11,168.0
2014-07-12,168.0
2014-07-13,168.0
2014-07-14,168.0
2014-07-15,168.0
2014-07-16,168.0
2014-07-17,168.0
2014-07-18,190.0
2014-07-19,170.0
2014-07-20,168.0
2014-07-21,167.0
2014-07-22,167.0
2014-07-23,172.0
2014-07-24,169.0
2014-07-25,190.0
2014-07-26,170.0
2014-07-27,169.0
2014-07-28,168.0
2014-07-29,168.0
2014-07-30,167.0
2014-07-31,168.0
2014-08-01,167.0
2014-08-02,167.0
2014-08-03,167.0
2014-08-04,167.0
2014-08-05,167.0
2014-08-06,167.0
2014-08-07,167.0
2014-08-08,167.0
2014-08-09,167.0
2014-08-10,167.0
2014-08-11,167.0
2014-08-12,167.0
2014-08-13,174.0
2014-08-14,169.0
2014-08-15,168.0
2014-08-16,170.0
2014-08-17,173.0
2014-08-18,169.0
2014-08-19,168.0
2014-08-20,167.0
2014-08-21,167.0
2014-08-22,167.0
2014-08-23,167.0
2014-08-24,167.0
2014-08-25,166.0
2014-08-26,170.0
2014-08-27,169.0
2014-08-28,167.0
2014-08-29,167.0
2014-08-30,167.0
2014-08-31,173.0
2014-09-01,184.0
2014-09-02,169.0
2014-09-03,212.0
2014-09-04,191.0
